"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "Year"
"56" 46300 58700 67900 51600 107000 18200 6870 56500 61800 19700 75300 24200 25600 22300 24800 37300 8310 23400 53000 69600 71400 19600 18900 33800 12500 16200 41600 114000 1992
"57" 45900 67000 78300 60400 141000 19600 10600 50900 81600 34100 104000 24900 28900 24000 29900 31700 10300 29700 61100 80200 77700 19800 28900 73400 59800 50000 120000 197000 1993
"58" 56100 81900 95300 99700 169000 32100 11600 41400 50500 42000 92600 35200 38600 23900 34900 45100 10800 24200 63500 99600 104000 14200 14500 39700 30600 31600 65800 158000 1994
"59" 28500 35900 39800 54500 81400 8420 10700 84700 89400 35600 90900 23100 27800 31300 32200 53000 7430 16500 29500 38600 38600 22900 12100 33700 42300 36100 78300 149000 1995
"60" 59400 102000 138000 158000 357000 27200 12400 49200 66800 79400 105000 36800 41200 29800 50700 43200 14000 24700 34600 56000 55500 29500 12900 45500 58900 65800 121000 203000 1996
"61" 46100 61000 66000 70400 130000 16900 9360 16000 25800 34900 73500 39200 45100 30500 37100 85200 11700 25400 53000 69300 65800 14800 18000 34700 45300 43500 66000 142000 1997
"62" 69700 98900 110000 58700 193000 26700 13800 32900 48700 28800 92300 26800 31900 19600 36500 43800 15100 32500 54000 81900 83300 14200 20800 47200 39800 41400 83200 174000 1998
"63" 43200 71200 82900 53000 156000 21600 12900 9760 14600 17500 58400 21000 26000 25500 33700 48800 11500 29900 58600 71500 70200 21800 24000 51600 32700 32800 87700 175000 1999
"64" 42000 59800 65700 109000 163000 23200 11400 11000 16700 25700 76100 26400 42500 20100 31200 30700 7670 17400 30000 29800 30300 17400 4400 26300 25800 19900 37200 60400 2000
"65" 34000 43900 48600 51500 105000 8300 8810 19000 29800 26000 89400 22700 43200 25000 36000 42700 7360 21200 35100 46000 46000 11000 11600 28200 42000 44600 79100 127000 2001
"66" 47300 74400 83400 71400 135000 17900 12500 21800 37900 24800 58500 22500 25600 22600 32600 46800 7400 23300 39600 76500 77500 35400 25600 58600 46300 54600 117000 236000 2002
"67" 63100 69300 67200 109000 205000 27500 9420 44900 75800 49300 106000 24200 31500 34400 35200 47900 13500 33000 79000 108000 93600 8420 33800 47500 27700 28500 54200 116000 2003
"68" 58300 105000 144000 86400 283000 34000 14600 36900 48200 31100 84900 48400 51000 32000 57500 40800 8840 20700 56800 76100 68200 13500 17500 46900 54800 52100 102000 157000 2004
"69" 56000 76400 87300 82800 239000 25500 14700 19100 33600 21800 69700 64400 70600 42000 65700 38900 12700 33800 78300 125000 122000 28300 37100 83700 59600 75500 150000 268000 2005
