"theta[1,1]" "theta[2,1]" "theta[3,1]" "theta[1,2]" "theta[2,2]" "theta[3,2]" "theta[1,3]" "theta[2,3]" "theta[3,3]"
"31" 0.490217827015196 0.724061940801426 0.695646478382612 0.48179304301071 0.0462791240554172 0.0772845152152676 0.0279891299740939 0.229658935143157 0.227069006402121
"32" 0.534650836141383 0.469604878734557 0.765381906640637 0.169791577217156 0.13204805511532 0.0168355216584589 0.295557586641461 0.398347066150123 0.217782571700904
"33" 0.609607305520297 0.311629883206433 0.801974976918503 0.368223769133094 0.322674918497635 0.00805256379125452 0.022168925346609 0.365695198295931 0.189972459290243
"34" 0.507146309353968 0.528065040852717 0.44983553708094 0.474837324691927 0.349366257362734 0.545002421352127 0.0180163659541046 0.122568701784548 0.00516204156693301
"35" 0.634360489971677 0.55649309381088 0.140984675148813 0.350701193364229 0.370039976718678 0.825481245663525 0.0149383166640946 0.0734669294704416 0.0335340791876613
"36" 0.576734823836103 0.489610481749849 0.29266088079154 0.404657711562234 0.381809885723396 0.579556081783935 0.0186074646016631 0.128579632526755 0.127783037424525
"37" 0.420361536375785 0.320542931441883 0.83359482443671 0.466387375158253 0.263844784686644 0.0914296961668771 0.113251088465961 0.415612283871474 0.0749754793964126
"38" 0.491906890312843 0.394871599425106 0.889761076821424 0.46725661132404 0.320369615637781 0.0851653888923667 0.0408364983631165 0.284758784937113 0.0250735342862097
"39" 0.653385705877897 0.406770409219065 0.483867732969286 0.223978680772572 0.383503746487812 0.365414538435927 0.122635613349531 0.209725844293122 0.150717728594786
"40" 0.464882916151035 0.604417766877269 0.838760415468629 0.525552299099707 0.202343039398898 0.108269226120759 0.00956478474925815 0.193239193723833 0.0529703584106126
"41" 0.774430112637132 0.190831203095449 0.703534674370238 0.167517456470353 0.501628357814235 0.0525591272432401 0.0580524308925152 0.307540439090315 0.243906198386521
"42" 0.646485109573372 0.586601836010903 0.704868274387995 0.292536671398553 0.163688043879524 0.0928518283390787 0.0609782190280754 0.249710120109573 0.202279897272926
"43" 0.523732970174447 0.691157653957186 0.503197375032282 0.41625714214415 0.154993630904156 0.223309238502554 0.0600098876814034 0.153848715138657 0.273493386465164
"44" 0.635810350487221 0.501065032240572 0.702344690667636 0.333922950731155 0.153114949599578 0.255355403658661 0.0302666987816239 0.34582001815985 0.0422999056737028
"45" 0.518773513574153 0.472330494115439 0.75157625802127 0.388845054762474 0.411570187463084 0.149991866252493 0.0923814316633729 0.116099318421476 0.0984318757262372
"46" 0.602931766936537 0.408323881712371 0.389005643253339 0.391382507520663 0.458025680915527 0.53326788092893 0.0056857255428 0.133650437372103 0.0777264758177318
"47" 0.522482946517999 0.516425772483093 0.680501336464001 0.474346445775253 0.27877411148763 0.0982513809624615 0.00317060770674799 0.204800116029277 0.221247282573537
